matrix,n,rho,omega,gs_status,fixed_status,adaptive_status,gs_iters,fixed_iters,adaptive_iters
c-35,6537,11441.462807126938,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
rand_078_n190,190,127.06106460312182,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
c-36,7479,4890.564893153908,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
c-34,6611,1216.3670848726738,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
rand_079_n198,198,234.9097849477729,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
nasa2146,2146,3.459273112915816,1.0,solved,solved,solved,1213,746,1213
c-37,8204,263.35987958128146,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
rand_080_n207,207,927.0865896897766,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_081_n208,208,110.79786440955786,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
c-38,8127,156.46018733532588,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
bcsstk13,2003,3.425255290972505,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
ex13,2568,7.676476521316744,1.0,solved,solved,solved,640,449,640
c-31,5339,60.053235926684685,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
viscoplastic1,4326,2.1051362414882164,1.0,did_not_converge,did_not_converge,did_not_converge,6,6,6
c-40,9941,1491.6939832866747,1.0,did_not_converge,did_not_converge,did_not_converge,3,2,3
sts4098,4098,4.131365752033718,1.0,solved,solved,solved,6395,4053,6395
rand_082_n215,215,190.09990255516138,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
dw4096,8192,8.12419959533737,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
dw8192,8192,8.12419959533737,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_083_n218,218,482.12702082542484,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
Chebyshev3,4101,54.136977217436915,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
shermanACd,6136,1273543.308664594,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
flowmeter0,9669,0.993310264530039,1.7929564673443388,did_not_converge,did_not_converge,solved,10000,10000,3873
cage9,3534,0.9510344163100786,1.5277846706887659,solved,solved,solved,14,19,35
rand_084_n223,223,251.69585022306572,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
utm3060,3060,3.949489809579567,1.0,did_not_converge,did_not_converge,did_not_converge,7,5,7
rand_085_n225,225,270.5446579598192,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
aft01,8205,2.7460269576879592,1.0,solved,solved,solved,2,15,2
rand_086_n229,229,313.8788174947208,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
msc04515,4515,3.758035338031473,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_087_n234,234,135.76056042073222,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
Kaufhold,8765,352418.12318330805,1.0,did_not_converge,did_not_converge,did_not_converge,4,4,4
ex7,1633,4.067045720190119,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_088_n239,239,110.5007438145422,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
c-41,9769,33908.26129126512,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
ex9,3363,4.061522777101928,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
cryg10000,10000,201.5075896246908,1.0,did_not_converge,did_not_converge,did_not_converge,6,6,6
rand_089_n244,244,96.37219011761528,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
ex15,6867,2.972929852127473,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
cz5108,5108,0.9957952365362858,1.8321611675017349,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_090_n254,254,79.03778844130005,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
bcsstk15,3948,3.1744255324276844,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_091_n259,259,168.00800229051978,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_092_n261,261,90.94326464967077,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_093_n262,262,260.8169881884101,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_094_n265,265,132.2211502093658,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
crystm01,4875,2.363234462258547,1.0,solved,solved,solved,23,29,23
c-39,9271,826.5702652519061,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
rand_095_n276,276,421.07459700751224,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
ex37,3565,1.259241043412279,1.0,solved,solved,solved,29,24,29
rand_096_n277,277,126.25920183910867,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_097_n280,280,248.33474098618996,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
thermal,3456,1.202658471746267,1.0,solved,solved,solved,40,23,40
rand_098_n288,288,83.00205765593279,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
flowmeter5,9669,0.9920123777176576,1.7759772269391287,did_not_converge,did_not_converge,did_not_converge,10000,10000,2
ex18,5773,2.9684761929438612,1.0,did_not_converge,did_not_converge,did_not_converge,23,16,23
bcsstk24,3562,6.119808579517862,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_099_n293,293,208.71325664257944,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_100_n300,300,432.2104377581406,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
utm5940,5940,16.54708775082261,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
t2d_q4,9801,0.9889146046579665,1.7414240134407608,solved,solved,solved,9185,5510,1353
t2d_q9,9801,0.9889146046579665,1.7414240134407608,solved,solved,solved,9185,5510,1353
SiH4,5041,1.4346256087526799,1.0,did_not_converge,did_not_converge,did_not_converge,206,127,206
ex8,3096,4.0929064799243235,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
piston,2025,31.412268629180847,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bcsstk28,4410,4.573564661686975,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
Muu,7102,1.1681078019697204,1.0,solved,solved,solved,21,31,21
comsol,1500,2.225040369401653,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
SiNa,5743,1.4270878914233451,1.0,did_not_converge,did_not_converge,did_not_converge,202,125,202
s3rmt3m3,5357,5.333360639766417,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
s1rmt3m1,5489,2.647218547394041,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
s2rmt3m1,5489,3.759126197553041,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
s3rmt3m1,5489,3.700488940265714,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
raefsky6,3402,0.14816672504929382,1.0055494279689319,solved,solved,solved,10,25,11
benzene,8219,1.3361256668343462,1.0,did_not_converge,did_not_converge,did_not_converge,411,251,411
bcsstk16,4884,2.3844951112390267,1.0,solved,solved,solved,1587,964,1587
s1rmq4m1,5489,3.296923939177174,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
s2rmq4m1,5489,2.320641865269388,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
s3rmq4m1,5489,2.6643947167618043,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bcsstk38,8032,3.7844909274296765,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
raefsky5,6316,0.1639556814110547,1.006812239729686,solved,solved,solved,8,17,8
Na5,5832,1.3729706731479034,1.0,did_not_converge,did_not_converge,did_not_converge,924,558,924
crystk01,4875,3.526891633622817,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
Kuu,7102,2.096597596114143,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
nemeth08,9506,0.1807970547714381,1.0083082460422983,solved,solved,solved,7,16,7
nemeth09,9506,0.2523033085356888,1.0164418615034196,solved,solved,solved,8,16,8
nemeth07,9506,0.12893255084627864,1.0041908068100747,solved,solved,solved,7,15,7
nemeth06,9506,0.09161119070301242,1.0021070035098176,solved,solved,solved,6,15,6
nemeth05,9506,0.06491732776484435,1.001055790723448,solved,solved,solved,6,15,6
nemeth02,9506,0.022874678965417214,1.0001308469695822,solved,solved,solved,5,15,5
nemeth04,9506,0.04591101634477639,1.000527511452057,solved,solved,solved,6,15,6
nemeth03,9506,0.032423227042882946,1.000262954648736,solved,solved,solved,5,15,5
nemeth10,9506,0.3499183571269803,1.0326417008348674,solved,solved,solved,9,16,9
nemeth11,9506,0.4816498348496624,1.0658914036890563,solved,solved,solved,11,17,11
nemeth12,9506,0.6574580732533829,1.140581760920241,solved,solved,solved,15,17,14
nemeth13,9506,0.8942892534055665,1.3817027255610033,solved,solved,solved,28,19,25
raefsky2,3242,2.324228283328905,1.0,did_not_converge,did_not_converge,did_not_converge,1071,40,1071
